"","WQ_Station_Name","River.Type","River.Name","Date","pH","DO","BOD","COD","SS","TN","TP","TOC","WT","EC","DTN","NH3N","NO3N","DTP","PO4P","Chlorophyll"
"3722","M9","M","ND",2008-04-24,9.1,14.1,3.7,7,15,NA,NA,NA,17,262,NA,NA,NA,NA,NA,45.5
"3723","T11b","T","MR",2008-04-24,7.7,9.6,2.3,4,12.2,1.754,0.082,2.1,17.4,198,NA,NA,NA,NA,NA,NA
"3724","M8","M","ND",2008-04-24,7.5,9.5,3.4,6.6,13.8,2.593,0.105,NA,16,203,2.475,0.026,2.041,0.073,0.069,31.2
"3725","M13","M","ND",2008-04-24,8.7,9.2,2.7,6,17.2,2.694,0.174,3.3,16.2,674,NA,NA,NA,NA,NA,NA
"3726","T9b","T","HG",2008-04-24,7.8,11.1,0.6,3,20.8,1.515,0.036,1.6,12.6,95,NA,NA,NA,NA,NA,NA
"3727","M10","M","ND",2008-04-25,8.7,12.3,4.8,9,18.6,3.709,0.259,NA,17,447,3.553,0.392,2.767,0.219,0.209,93.4
"3728","M11","M","ND",2008-04-25,8.7,11.6,4.4,8.2,20,NA,NA,NA,17,433,NA,NA,NA,NA,NA,NA
"3729","T1","T","BB",2008-04-28,7.1,11.4,0.7,4.5,4,1.37,0.012,3,14.9,165,1.346,0.033,1.07,0.002,0,1.5
"3730","M14","M","ND",2008-04-29,8.2,12,2.6,4.4,18.2,2.414,0.142,NA,18,248,2.185,0.013,1.651,0.087,0.064,41.5
"3731","T2","T","NS",2008-04-29,7.5,11.8,0.9,1.9,3.4,3.257,0.064,1.1,21.3,248,3.098,0.028,2.43,0.049,0.04,2.2
"3732","T4","T","BS",2008-04-29,8.1,10.6,2.9,5.7,4.4,2.613,0.357,4.2,20,333,NA,NA,NA,NA,NA,NA
"3733","M5","M","ND",2008-04-29,7.9,9.7,0.7,3.2,5.2,1.819,0.026,1.9,17.4,213,1.764,0.024,1.733,0.013,0.005,1.1
"3734","T5b","T","WE",2008-04-29,8,9.5,1.4,4.6,4.4,1.154,0.03,3.2,19.1,258,NA,NA,NA,NA,NA,NA
"3735","T6a","T","GM",2008-04-29,7.9,8.3,1,3.7,7.6,3.798,0.227,2.1,23.6,348,NA,NA,NA,NA,NA,NA
"3736","T7b","T","KH",2008-04-30,8.4,11.5,3.7,8.6,8.4,5.873,0.679,6.1,22.9,874,5.709,0.032,4.619,0.615,0.567,21.9
"3737","M7","M","ND",2008-04-30,8.1,10.6,2,4.2,6.8,2.277,0.098,2.4,21.3,289,NA,NA,NA,NA,NA,NA
"3738","M8","M","ND",2008-05-01,8.8,11,3.1,6.4,5.8,2.29,0.081,NA,25,188,2.158,0.42,1.722,0.049,0.028,22
"3739","T10b","T","NG",2008-05-02,7.2,8.8,2.6,4.7,18.8,1.581,0.077,2.3,25,176,1.343,0.028,1.277,0.035,0.022,10.1
"3740","M12","M","ND",2008-05-02,8.9,10,3.5,6.8,22,3.692,0.278,4.2,20,495,NA,NA,NA,NA,NA,NA
"3741","T8b","T","HO",2008-05-02,7.9,8.4,1.4,3.2,5,0.738,0.036,1.7,23,171,NA,NA,NA,NA,NA,NA
"3742","T10a","T","NG",2008-05-02,7,8.9,2.2,4.3,6.4,1.677,0.081,2.2,21,165,NA,NA,NA,NA,NA,NA
"3743","M14","M","ND",2008-05-06,8.4,9.3,1.9,3.9,14.4,2.27,0.148,NA,21,276,1.946,0.009,1.626,0.102,0.081,40.6
"3744","T11b","T","MR",2008-05-06,8,10.3,4.8,5.5,8.8,1.5,0.157,3.1,22,206,NA,NA,NA,NA,NA,NA
"3745","M1","M","ND",2008-05-06,7.2,13.7,0.9,4.4,0.6,2.022,0.005,NA,10,180,1.699,0.181,1.449,0.003,0,1.9
"3746","M2","M","ND",2008-05-06,6.9,11.5,1.2,5.6,2.2,1.89,0.006,NA,17,175,1.832,0.297,1.481,0.004,0,2.2
"3747","M13","M","ND",2008-05-06,8.3,8.1,1.6,4.7,14,2.45,0.157,2.9,18,316,NA,NA,NA,NA,NA,NA
"3748","T9b","T","HG",2008-05-06,7.8,10.5,0.2,2.6,13.8,1.426,0.021,1.5,15,95,NA,NA,NA,NA,NA,NA
"3749","T7a","T","KH",2008-05-06,8.6,10.8,3.1,9,6.2,5.403,0.64,NA,22,477,5.295,0.185,4.545,0.59,0.566,16.6
"3750","T1","T","BB",2008-05-07,7.1,9.7,0.9,4.3,5.2,1.309,0.025,3,20,172,1.236,0.031,1.086,0.002,0.001,3.5
"3751","T9a","T","HG",2008-05-07,7.7,10.2,1.2,2.9,14,1.569,0.058,NA,15,100,1.446,0.052,1.32,0.044,0.001,3.8
"3752","T2","T","NS",2008-05-08,8.2,12.9,0.7,2.5,1.8,2.892,0.025,2.5,22,246,2.878,0.025,2.536,0.02,0.008,3.8
"3753","M9","M","ND",2008-05-08,8.6,13.3,3.1,6.2,4.8,NA,NA,NA,22,263,NA,NA,NA,NA,NA,35.9
"3754","T4","T","BS",2008-05-08,7.9,8.7,2,6.3,2.8,3.827,0.601,4.7,23,472,3.709,0.071,2.852,0.558,0.525,4.6
"3755","M5","M","ND",2008-05-08,8,9.3,0.8,3,5.8,1.679,0.02,1.9,19,208,1.654,0.025,1.622,0.011,0.009,5.9
"3756","T3b","T","YG",2008-05-08,7.5,14.4,2.6,3.7,2.4,0.528,0.07,NA,23,301,0.432,0.01,0.282,0.062,0.033,2.3
"3757","M8","M","ND",2008-05-08,8.5,13.4,3.5,7.4,9.8,2.019,0.087,NA,22,189,1.869,0.042,1.593,0.035,0.009,94.6
"3758","T5b","T","WE",2008-05-08,8.3,8.7,1.8,5.1,9.4,1.316,0.03,3.9,22,261,1.156,0.028,1.015,0.011,0.004,8.5
"3759","T6a","T","GM",2008-05-08,8.2,7.9,1.4,4.5,19.2,3.963,0.138,2.9,22,427,NA,NA,NA,NA,NA,NA
"3760","T3a","T","YG",2008-05-08,7.5,8.7,2,3.1,2.8,0.72,0.073,NA,22,292,0.624,0.011,0.474,0.056,0.015,2.1
"3761","M10","M","ND",2008-05-09,7.8,10.8,3.2,7,12.8,3.871,0.279,NA,21,487,3.492,0.245,3.022,0.223,0.218,33.2
"3762","T7b","T","KH",2008-05-09,8.3,11.2,2.7,9.8,10,5.739,0.661,7.2,22,1012,5.593,0.03,3.874,0.584,0.548,25.6
"3763","M15","M","ND",2008-05-09,8.7,8.6,1.9,4.5,17.8,2.433,0.159,2.3,20,251,1.965,0.093,1.226,0.083,0.065,42.2
"3764","M7","M","ND",2008-05-09,8.4,10.2,2.6,5.3,14.8,2.132,0.105,2.7,26,301,1.943,0.031,1.552,0.03,0.01,24
"3765","T11a","T","MR",2008-05-09,7.8,8.9,1.3,2.2,8,1.319,0.054,NA,20,123,0.977,0.076,0.543,0.03,0.021,7.4
"3766","M11","M","ND",2008-05-09,7.9,10.4,3,6.8,19,NA,NA,NA,21,480,NA,NA,NA,NA,NA,NA
"3767","T10b","T","NG",2008-05-13,8.5,10.6,4.8,6.8,18.8,1.965,0.116,3.4,20,207,1.286,0.039,1.018,0.026,0.008,60.9
"3768","M14","M","ND",2008-05-13,8.9,11.4,2.9,5,18.4,2.49,0.169,NA,19,293,2.01,0.014,1.312,0.073,0.052,72.8
"3769","T2","T","NS",2008-05-13,9.5,11.4,0.9,2.5,1.4,2.615,0.012,1.6,20,241,2.459,0.028,1.866,0.007,0.001,7
"3770","M12","M","ND",2008-05-13,8.1,8.7,1.6,6.7,16.4,3.329,0.246,4.2,20,540,3.238,0.063,2.267,0.207,0.171,9.9
"3771","M5","M","ND",2008-05-13,9.2,10.5,0.7,3.2,7,1.843,0.028,2.1,17,205,1.783,0.129,1.4,0.006,0.002,5.1
"3772","T8b","T","HO",2008-05-13,8,7.9,1.2,3.2,7.6,0.623,0.039,1.8,19,196,0.511,0.039,0.236,0.008,0.003,9.6
"3773","T7a","T","KH",2008-05-13,8.2,10.2,4.6,10.5,9.2,7.615,1.021,NA,19,522,7.366,0.912,5.299,0.99,0.982,14.1
"3774","T10a","T","NG",2008-05-13,7,8,2.5,4,8.2,1.877,0.087,2.5,19,193,NA,NA,NA,NA,NA,NA
"3775","T7b","T","KH",2008-05-14,9,9.9,2.5,9.4,7,7.214,0.896,7,19,1010,6.809,0.143,5.447,0.811,0.766,28.8
"3776","T11b","T","MR",2008-05-14,7.9,9.2,3.7,5.9,8,1.483,0.131,2.8,20,178,1,0.025,0.79,0.046,0.022,30.3
"3777","M1","M","ND",2008-05-14,7.5,12.3,0.8,4,9.2,1.892,0.028,NA,9,175,1.801,0.244,1.548,0.004,0,1.8
"3778","M2","M","ND",2008-05-14,7.4,10.2,1.3,4,3.6,2.027,0.04,NA,15,180,1.934,0.363,1.558,0.005,0.002,2.5
"3779","M3","M","ND",2008-05-14,7.6,9.8,0.9,4.6,4,2.245,0.036,NA,18,179,1.982,0.266,1.597,0.021,0,3.3
"3780","M13","M","ND",2008-05-14,8.5,8.5,2.1,5.1,16.8,2.481,0.143,3.4,20,392,2.276,0.023,1.493,0.085,0.072,12.9
"3781","T9b","T","HG",2008-05-14,7.9,8.8,0.8,2.4,18.4,1.467,0.028,1.3,18,96,1.45,0.025,1.172,0.006,0.002,1.9
"3782","M9","M","ND",2008-05-15,8.6,10.9,3,6.2,5.4,1.824,0.074,NA,23,294,1.716,0.122,1.406,0.039,0.018,13.2
"3783","M8","M","ND",2008-05-15,9.1,13.9,3.3,8,9.4,2.727,0.16,NA,23,219,2.371,0.083,1.792,0.083,0.036,45.5
"3784","M10","M","ND",2008-05-16,8.1,10.1,3.5,7.4,16.6,4.33,0.456,NA,20,569,4.091,0.182,2.952,0.37,0.368,31.8
"3785","T1","T","BB",2008-05-16,7.3,9.9,1.1,4.4,3.6,1.226,0.015,3,19,168,1.109,0.024,0.915,0.003,0.002,3.3
"3786","M11","M","ND",2008-05-16,8.1,10.1,3.7,7.6,12.6,4.175,0.45,NA,20,581,4.031,0.296,3.264,0.402,0.394,43.2
"3787","T4","T","BS",2008-05-19,8,7.3,7.6,10.3,29,4.733,0.26,7.6,19,316,NA,NA,NA,NA,NA,NA
"3788","M5","M","ND",2008-05-19,7.7,9.3,1,3.9,10,1.905,0.04,2.6,19,215,1.86,0.057,1.477,0.022,0.005,11.2
"3789","M1","M","ND",2008-05-19,7.5,12.8,0.9,4.4,1.8,1.601,0.006,NA,10,174,1.526,0.168,1.277,0.002,0,4.2
"3790","M2","M","ND",2008-05-19,7.7,9.7,1.4,5.8,7.4,2.023,0.017,NA,16,179,1.987,0.456,1.303,0.002,0,6.1
"3791","T5b","T","WE",2008-05-19,7.6,7.6,7.9,11.3,170,4.687,0.21,7.9,19,294,NA,NA,NA,NA,NA,NA
"3792","T6a","T","GM",2008-05-19,7.9,7,5.8,9.2,23.6,5.391,0.336,6.6,22,345,NA,NA,NA,NA,NA,NA
"3793","T7b","T","KH",2008-05-20,7.4,7.8,4.8,9.3,16.4,6.027,0.724,6.9,24,672,5.639,0.616,3.946,0.693,0.512,15.2
"3794","M14","M","ND",2008-05-20,8.3,9.5,2.7,4.9,16.6,2.353,0.159,2.8,20,291,1.987,0.021,1.394,0.109,0.087,34.1
"3795","M7","M","ND",2008-05-20,8.3,10.1,2.4,4.7,10.4,1.957,0.1,3,20,253,NA,NA,NA,NA,NA,NA
"3796","T6b","T","GM",2008-05-21,7.9,10,1.2,4,2.6,3.447,0.119,NA,21,211,3.384,0.214,3.013,0.112,0.109,21.3
"3797","T10b","T","NG",2008-05-21,8.5,9.5,4.2,7.3,18.8,1.588,0.113,3.8,25,215,1.134,0.04,0.949,0.033,0.007,94.1
"3798","M12","M","ND",2008-05-21,8,8.1,2.3,6.5,17.2,3.678,0.388,4.7,21,563,NA,NA,NA,NA,NA,NA
"3799","M6","M","ND",2008-05-21,7.8,9.3,1.2,5.4,9.8,2.234,0.012,NA,20,141,2.141,0.135,1.851,0.007,0,29.1
"3800","M4","M","ND",2008-05-21,7.7,9.2,1.2,4.6,7.8,2.025,0.012,NA,20,179,1.956,0.083,1.822,0.008,0.004,18.1
"3801","T8b","T","HO",2008-05-21,7.9,8.8,0.8,3,4.4,0.723,0.044,2,20,180,NA,NA,NA,NA,NA,NA
"3802","T7a","T","KH",2008-05-21,8.1,9.9,3.9,9.7,10.6,4.389,0.56,NA,21,451,4.128,0.26,3.195,0.552,0.55,17.3
"3803","T10a","T","NG",2008-05-21,7.2,9.7,4.1,5.9,9.6,1.954,0.157,3.5,21,236,NA,NA,NA,NA,NA,NA
"3804","M9","M","ND",2008-05-22,8.6,10,3.2,6.4,2.2,NA,NA,NA,23,300,NA,NA,NA,NA,NA,23.3
"3805","T11b","T","MR",2008-05-22,7.8,6.1,1.5,4.3,8.2,2.014,0.087,2.4,22,130,NA,NA,NA,NA,NA,NA
"3806","M8","M","ND",2008-05-22,8.3,10,2.9,6,8.4,2.373,0.076,NA,22,185,2.256,0.086,1.926,0.045,0.038,47.1
"3807","M13","M","ND",2008-05-22,8,9.3,1.3,4.8,14,2.515,0.209,3.3,20,398,NA,NA,NA,NA,NA,NA
"3808","T9b","T","HG",2008-05-22,8,11.9,1.2,2.8,7.2,1.437,0.038,1.8,16,99,NA,NA,NA,NA,NA,NA
"3809","M10","M","ND",2008-05-23,7.7,9.1,2.9,8.4,7.4,3.169,0.262,NA,22,479,3.08,0.169,2.361,0.22,0.215,43.9
"3810","T2","T","NS",2008-05-23,7.5,8.8,2,4.2,26,2.87,0.076,1.8,25,265,2.739,0.027,1.002,0.031,0.021,16.6
"3811","T1","T","BB",2008-05-23,7.4,9,1,4.3,8,1.183,0.023,3,20,168,1.094,0.022,0.926,0.003,0.002,4.5
"3812","M11","M","ND",2008-05-23,8.1,9.4,3,8.8,15.4,NA,NA,NA,22,490,NA,NA,NA,NA,NA,NA
"3813","T8a","T","HO",2008-05-23,8.9,12.6,2.3,6.8,6.4,0.871,0.023,NA,24,211,0.805,0.163,0.371,0.003,0,43.4
"3814","T1","T","BB",2008-05-26,7.2,9.9,0.5,4.5,3.6,1.188,0.022,3.1,20,170,1.151,0.009,0.881,0.01,0.008,3.4
"3815","T7a","T","KH",2008-05-26,8.4,10.6,3.3,8.8,4,5.32,0.56,NA,20,502,4.743,0.181,4.541,0.53,0.517,22
"3816","M14","M","ND",2008-05-27,8.3,10.4,2.4,5.1,14.8,2.66,0.157,NA,23,325,2.403,0.03,1.482,0.11,0.085,33.4
"3817","T2","T","NS",2008-05-27,7.7,9.3,0.2,2.5,6.4,2.735,0.062,1.7,25,270,2.709,0.013,1.605,0.05,0.041,6.1
"3818","T4","T","BS",2008-05-27,8,7.2,1.8,7.3,8.4,2.62,0.326,5.3,26,387,NA,NA,NA,NA,NA,NA
"3819","M5","M","ND",2008-05-27,8,8.7,1,3.7,8.4,1.764,0.044,2.6,23,230,1.654,0.013,1.162,0.023,0.017,7.8
"3820","T5b","T","WE",2008-05-27,7.8,8,2.2,9,14.8,2.367,0.083,7.2,25,311,NA,NA,NA,NA,NA,NA
"3821","T6a","T","GM",2008-05-27,8.3,7.1,0.8,3.8,3.4,3.563,0.111,3.1,25,419,NA,NA,NA,NA,NA,NA
"3822","T5a","T","WE",2008-05-27,7.2,13,1.6,7,5.4,2.226,0.03,NA,28,254,2.042,0.604,1.185,0.015,0.013,5.5
"3823","T7b","T","KH",2008-05-28,8.3,9.9,4.5,9.4,20,4.62,0.711,6.8,22,892,4.143,0.011,3.315,0.668,0.493,101.3
"3824","M1","M","ND",2008-05-28,6.8,11.6,0.8,3.6,0.4,1.65,0.01,NA,12,163,1.617,0.084,1.525,0.006,0.004,5
"3825","M2","M","ND",2008-05-28,6.8,9,1.2,3.6,1.2,2.168,0.013,NA,16,180,2.126,0.374,1.703,0.011,0.009,6.9
"3826","M7","M","ND",2008-05-28,8.1,9.1,3.9,6.6,25.6,2.11,0.126,4.1,20,281,NA,NA,NA,NA,NA,NA
"3827","T10b","T","NG",2008-05-29,7.1,8.6,3.2,7.4,54,2.189,0.175,3.7,23,187,1.785,0.124,1.274,0.057,0.043,46.1
"3828","M9","M","ND",2008-05-29,7.3,6.9,2.8,5.6,7.4,NA,NA,NA,24,250,NA,NA,NA,NA,NA,18.6
"3829","M12","M","ND",2008-05-29,7.9,8.3,2.6,7.5,32,2.183,0.357,4.9,22,527,NA,NA,NA,NA,NA,NA
"3830","M8","M","ND",2008-05-29,8.1,9.4,3.2,7.8,5.6,2.593,0.14,NA,23,194,2.095,0.218,1.818,0.049,0.039,77.4
"3831","T8b","T","HO",2008-05-29,7.7,8.1,1.9,6,39,1.738,0.123,3.1,22,162,NA,NA,NA,NA,NA,NA
"3832","T10a","T","NG",2008-05-29,6.6,7.6,4.6,6.4,38,2.612,0.157,3.9,21,180,NA,NA,NA,NA,NA,NA
"3833","M10","M","ND",2008-05-30,7.2,8.8,2.8,8.4,7.6,3.709,0.245,NA,23,380,3.42,0.73,2.573,0.187,0.184,25.8
"3834","T11b","T","MR",2008-05-30,8.8,6.3,0.9,4,16,2.582,0.079,2.5,20,129,NA,NA,NA,NA,NA,NA
"3835","M13","M","ND",2008-05-30,8,9.6,1.8,6.5,27.6,2.452,0.237,3.6,21,402,NA,NA,NA,NA,NA,NA
"3836","T9b","T","HG",2008-05-30,7.7,12.1,0.7,2.6,12.2,1.409,0.032,1.7,15,101,NA,NA,NA,NA,NA,NA
"3837","M11","M","ND",2008-05-30,7.1,8.9,2.7,7.4,11.4,NA,NA,NA,23,432,NA,NA,NA,NA,NA,NA
"3838","M1","M","ND",2008-06-02,6.8,12.4,0.9,3.6,19.4,1.405,0.01,NA,11,166,1.385,0.044,1.337,0.007,0.005,5.2
"3839","M2","M","ND",2008-06-02,7.4,10,1.2,4.2,3,1.72,0.041,NA,17,172,1.588,0.172,1.406,0.034,0.031,5.2
"3840","M14","M","ND",2008-06-03,8.2,14.7,3.7,8.1,28.2,2.62,0.17,NA,22,295,2.039,0,1.471,0.057,0.035,147
"3841","T1","T","BB",2008-06-03,7.9,10.1,0.9,4,2.6,1.391,0.013,3,19,181,1.378,0.052,1.114,0.006,0.004,2.3
"3842","T10b","T","NG",2008-06-04,9.4,9.4,3.9,7,27,2.199,0.141,3.8,21,22,1.524,0.029,1.097,0.019,0.005,97.3
"3843","T2","T","NS",2008-06-04,7.5,9.8,0.3,2.2,4.6,2.604,0.046,1.4,18,260,2.537,0.046,1.726,0.039,0.031,3.7
"3844","M9","M","ND",2008-06-04,7.9,9.2,2.3,6.4,6.8,NA,NA,NA,21,262,NA,NA,NA,NA,NA,36.2
"3845","T4","T","BS",2008-06-04,7.8,10,1.1,5.3,2.6,2.554,0.266,4.1,19,357,NA,NA,NA,NA,NA,NA
"3846","M5","M","ND",2008-06-04,8.4,9,0.9,3.3,13,1.536,0.045,2.4,19,217,1.463,0.047,1.071,0.016,0.004,8.4
"3847","T5b","T","WE",2008-06-04,7.8,7.5,1.7,5.8,14.8,1.444,0.057,4.6,19,268,NA,NA,NA,NA,NA,NA
"3848","T6a","T","GM",2008-06-04,7.9,9,1,4.5,60,4.23,0.214,3.1,18,417,NA,NA,NA,NA,NA,NA
"3849","T7a","T","KH",2008-06-04,7.8,10,2.5,7.8,4,3.851,0.362,NA,20,415,3.741,0.113,3.301,0.358,0.347,35.6
"3850","T9a","T","HG",2008-06-04,7.8,9.9,0.7,2,10.8,1.936,0.106,NA,14,101,1.609,0.031,1.468,0.078,0.022,1.2
"3851","M10","M","ND",2008-06-05,7.4,8.5,2.4,6.8,17.8,2.97,0.221,NA,20,398,2.919,0.173,2.481,0.182,0.178,48.8
"3852","T7b","T","KH",2008-06-05,7.9,8.2,4.4,9,13,5.395,0.614,6,19,701,4.909,0.451,2.713,0.482,0.36,40.2
"3853","T3b","T","YG",2008-06-05,7.4,9.2,3.3,4.1,4.3,0.96,0.054,NA,18,332,0.864,0.028,0.619,0,0.038,3.5
"3854","M8","M","ND",2008-06-05,7.7,8.8,2.1,5.2,7.2,2.058,0.087,NA,19,193,1.931,0.162,1.752,0.06,0.056,55.1
"3855","M7","M","ND",2008-06-05,7.9,10.2,1.4,4.4,16,1.821,0.08,2.7,18,242,NA,NA,NA,NA,NA,NA
"3856","T3a","T","YG",2008-06-05,7.4,8.1,1.5,3.6,2.7,0.864,0,NA,19,305,0.816,0.017,0.616,0,0,2.9
"3857","M11","M","ND",2008-06-05,7.4,8,2.3,6.8,25,NA,NA,NA,21,410,NA,NA,NA,NA,NA,NA
"3858","T10b","T","NG",2008-06-09,8.7,8.4,3.7,7.4,21,2.963,0.133,4.2,26,247,2.482,0.109,1.417,0.024,0.002,72.7
"3859","M12","M","ND",2008-06-09,8.1,10.1,3,6.7,22.4,3.099,0.283,4.4,23,436,NA,NA,NA,NA,NA,NA
"3860","T8b","T","HO",2008-06-09,8,9.4,0.9,3.6,16.4,1.503,0.065,2.5,26,206,NA,NA,NA,NA,NA,NA
"3861","T7a","T","KH",2008-06-09,8,10.9,3.1,8.2,6.8,4.439,0.441,NA,25,378,4.339,0.28,3.403,0.413,0.408,25
"3862","T10a","T","NG",2008-06-09,6.3,7,3.3,6,25,2.046,0.153,3.3,24,189,NA,NA,NA,NA,NA,NA
"3863","T7b","T","KH",2008-06-10,7.5,8.5,4.5,8.4,18.8,4.521,0.546,5.9,26,598,4.124,0.101,2.54,0.417,0.327,85.8
"3864","M14","M","ND",2008-06-10,8,12.7,2.9,7.5,23,3.891,0.192,NA,25,319,3.226,0.007,1.648,0.107,0.076,92.6
"3865","T11b","T","MR",2008-06-10,8.3,7.9,1.8,3.6,7,2.472,0.069,2.3,24,167,NA,NA,NA,NA,NA,NA
"3866","M13","M","ND",2008-06-10,7.6,9.4,2.1,6.1,27.2,2.656,0.217,3.9,24,357,NA,NA,NA,NA,NA,NA
"3867","T9b","T","HG",2008-06-10,6.1,10.5,0.3,2.6,10.6,1.483,0.03,1.9,20,102,NA,NA,NA,NA,NA,NA
"3868","M1","M","ND",2008-06-11,7.5,12.4,1,3.8,1,1.501,0.007,NA,12,169,1.475,0.075,1.371,0.003,0,2.2
"3869","M2","M","ND",2008-06-11,7.4,10.7,1.3,4.2,7.6,1.94,0.015,NA,18,179,1.742,0.364,1.201,0.007,0.002,3.3
"3870","M3","M","ND",2008-06-11,7.7,9.2,1.1,3.8,2.2,1.856,0.035,NA,22,179,1.821,0.123,1.691,0.014,0.006,4
"3871","M9","M","ND",2008-06-12,9,14.3,2.9,8.6,10.6,2.01,0.07,NA,27,233,1.828,0.108,1.621,0.022,0.017,76
"3872","T1","T","BB",2008-06-12,8.5,9.9,0.8,4,3.8,1.286,0.015,2.8,20,178,1.208,0.051,1.077,0.007,0.005,2.1
"3873","M8","M","ND",2008-06-12,8.3,9.5,2.4,6.8,17.6,1.892,0.092,NA,25,176,1.661,0.048,1.457,0.02,0.009,84.6
"3874","M10","M","ND",2008-06-13,8.9,13.1,3.6,9.2,14.8,2.538,0.21,NA,26,320,2.064,0.047,1.634,0.078,0.059,156.1
"3875","T2","T","NS",2008-06-13,7.4,8.5,0.4,2.3,5.2,2.701,0.073,1.5,27,268,2.637,0.049,2.327,0.064,0.039,3.9
"3876","T4","T","BS",2008-06-13,7.8,9.5,1.3,5.7,2.4,1.87,0.285,4.7,31,355,1.785,0.077,1.499,0.268,0.226,5.4
"3877","M5","M","ND",2008-06-13,8.5,8.4,1,3.7,12,1.553,0.039,2.2,23,225,1.504,0.048,1.38,0.018,0.012,9.8
"3878","T5b","T","WE",2008-06-13,8.1,8,1.6,5.8,18,1.324,0.063,4.1,26,260,1.182,0.067,0.97,0.017,0.004,14.6
"3879","T6a","T","GM",2008-06-13,7.9,10.5,0.9,4.2,26,3.022,0.253,2.3,29,333,NA,NA,NA,NA,NA,NA
"3880","M11","M","ND",2008-06-13,8.8,12.4,3.3,8.6,10.2,2.383,0.166,NA,25,316,2.185,0.082,1.885,0.085,0.083,114.1
"3881","T6b","T","GM",2008-06-16,7.9,8.6,1,3.8,1.2,2.547,0.153,NA,24,210,2.536,0.176,2.346,0.15,0.147,11.8
"3882","T7b","T","KH",2008-06-16,9.3,11.8,7.7,12.8,29,4.523,0.594,7.6,22,867,3.358,0.048,2.857,0.363,0.304,224.1
"3883","M6","M","ND",2008-06-16,8.1,9.2,1.1,3.8,5.2,1.427,0.016,NA,24,138,1.302,0.015,1.216,0.01,0.005,40.9
"3884","M4","M","ND",2008-06-16,7.9,8.6,0.9,3.8,4,1.507,0.016,NA,22,136,1.469,0.008,1.37,0.009,0.005,18.7
"3885","M7","M","ND",2008-06-16,8.1,12.1,2.4,5.7,15.2,1.688,0.072,3,23,259,1.486,0.073,1.165,0.015,0.007,36.8
"3886","T7a","T","KH",2008-06-16,8.6,12.1,5.5,10.5,13.8,3.801,0.361,NA,22,436,3.631,0.057,3.105,0.31,0.295,121.5
"3887","T10b","T","NG",2008-06-17,9,9.1,5.1,7.7,22,1.733,0.172,4.2,23,232,1.196,0.067,1.001,0.041,0.022,100
"3888","M14","M","ND",2008-06-17,8.5,11.7,2.5,5.3,19.6,1.957,0.148,2.3,23,263,1.63,0,1.158,0.083,0.064,50.3
"3889","M12","M","ND",2008-06-17,8,11.3,3,7.5,15.6,2.32,0.236,4.7,22,407,2.311,0.095,1.543,0.162,0.127,59.3
"3890","T8b","T","HO",2008-06-17,7.9,11.1,0.9,3.4,3.4,0.666,0.027,2.5,24,231,0.623,0.048,0.399,0.02,0.011,7.4
"3891","T10a","T","NG",2008-06-17,7.9,8.4,3.2,5.8,19.2,1.575,0.145,3.2,22,200,NA,NA,NA,NA,NA,NA
"3892","T2","T","NS",2008-06-18,8.8,8.9,0.8,3.4,9,1.982,0.056,1.9,20,231,1.829,0.045,1.625,0.028,0.021,13.3
"3893","T11b","T","MR",2008-06-18,8.7,8.2,1.7,4.4,12.8,2.084,0.105,2.6,23,177,1.946,0.083,1.459,0.065,0.051,20
"3894","M5","M","ND",2008-06-18,8.5,7.8,0.8,3.7,14.2,1.397,0.041,2.5,21,209,1.31,0.046,1.16,0.016,0.012,9.6
"3895","M1","M","ND",2008-06-18,6.8,11.5,1,3.8,0.8,1.531,0.006,NA,12,170,1.516,0.029,1.482,0.004,0.002,2
"3896","M2","M","ND",2008-06-18,6.9,10.1,1.5,4.2,3.2,1.871,0.007,NA,16,172,1.829,0.276,1.544,0.004,0.002,4.1
"3897","M13","M","ND",2008-06-18,7.4,8.7,1.5,5.6,22.8,1.886,0.143,3.4,22,278,1.636,0.072,1.337,0.097,0.066,27.7
"3898","T9b","T","HG",2008-06-18,8.6,9.9,1,4.3,21.6,1.565,0.064,2.7,18,103,1.495,0.097,1.202,0.036,0.024,5.6
"3899","M9","M","ND",2008-06-19,7.7,9.1,2.7,7.2,15.4,NA,NA,NA,24,226,NA,NA,NA,NA,NA,56.6
"3900","M8","M","ND",2008-06-19,7.8,8.4,2.5,6.4,19.8,1.889,0.073,NA,24,165,1.731,0.104,0.542,0.029,0.021,47.3
"3901","M10","M","ND",2008-06-20,7.1,7.4,3,8.4,26,3.257,0.144,NA,24,300,3.22,0.96,2.244,0.104,0.092,57.4
"3902","T1","T","BB",2008-06-20,8.5,8.8,0.7,3.6,7.6,1.508,0.015,2.8,22,169,1.438,0.027,1.394,0.005,0.004,2.4
"3903","M11","M","ND",2008-06-20,7,7.3,2.8,7.8,13.4,NA,NA,NA,24,297,NA,NA,NA,NA,NA,NA
"3904","T8a","T","HO",2008-06-20,6.8,8.4,1.3,6.2,10.2,2.791,0.056,NA,25,120,2.774,0.958,1.801,0.049,0.047,7
"3905","T2","T","NS",2008-06-23,7.4,9,0.4,2.5,9.8,2.562,0.093,1.7,25,250,2.45,0.032,2.233,0.078,0.058,3.2
"3906","T4","T","BS",2008-06-23,7.9,10,1.6,6.4,33.2,1.717,0.207,4.9,25,268,NA,NA,NA,NA,NA,NA
